covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
age_at_diagnosis_years,0.07512773952192778,1.078021848085259,0.13543658402764366,-0.19032308736138656,0.3405785664052421,0.8266919970554019,1.405760681231411,0.0,0.5547078735136558,0.579094489860311,0.788129325376262
smoking_history,0.061905427776937916,1.0638617282016776,0.11525893552770787,-0.1639979347537936,0.2878087903076694,0.8487437747432577,1.3335023011799134,0.0,0.5370987289923049,0.5911994187104191,0.7582832439148138
sex_FEMALE,0.10604686343082376,1.1118739815150291,1.3971036791437765,-2.632226030359382,2.8443197572210295,0.07191819184312938,17.189861411792272,0.0,0.07590479147246625,0.939494844815969,0.09004284955798834
sex_MALE,-0.10604686343083616,0.8993824989387709,1.3971036791437765,-2.844319757221042,2.6322260303593694,0.05817382560827315,13.90468773438054,0.0,-0.07590479147247513,0.9394948448159619,0.09004284955799925
pathologic_stage_Stage I,-0.7908724780007279,0.45344899836988384,1.3413053335612022,-3.419782624052168,1.8380376680507122,0.03271954660849551,6.284194478088014,0.0,-0.5896289668072369,0.5554394271774608,0.8482985061812272
pathologic_stage_Stage II,0.4065397350144796,1.501612806787048,1.2180654815222562,-1.9808247395805814,2.7939042096095403,0.13795541309014378,16.344708561986636,0.0,0.3337585221661594,0.7385617848457101,0.4372094792974177
pathologic_stage_Stage III,-0.29390462572518106,0.7453475750379189,1.2024835102278126,-2.6507289977749955,2.0629197463246336,0.07059972725210778,7.868911527534553,0.0,-0.24441468280051534,0.8069096713261273,0.3095209133591025
pathologic_stage_Stage IVA,0.05482230809997656,1.0563528926450567,1.1868357255184012,-2.271332969481555,2.380977585681508,0.10317455984214419,10.815470746925051,0.0,0.04619199348421246,0.9631572239387284,0.054156774822398994
pathologic_stage_Stage IVB,0.8247476013483308,2.2813048943784477,1.2617328576495426,-1.6482033577555752,3.297698560452237,0.19239526374652594,27.05031256887703,0.0,0.6536626167323065,0.5133291929092703,0.9620437862815373
histologic_grade_G1,-0.09910589443729009,0.9056467999873061,1.2181532771120258,-2.486642445226301,2.2884306563517205,0.08318880918194374,9.859452664280624,0.0,-0.08135749112972747,0.9351576541610469,0.09671849170195364
histologic_grade_G2,0.33993271597808267,1.4048530632192433,1.186060070750071,-1.984702306193085,2.6645677381492505,0.13742151756301624,14.361740171669028,0.0,0.28660666045616673,0.7744135139957193,0.3688239661326903
histologic_grade_G3,-0.2901933291975535,0.748118920366202,1.1910095185553335,-2.6245290908103964,2.0441424324152893,0.07247387761474847,7.722533103375666,0.0,-0.24365324094936802,0.8074993903223444,0.3084669243430441
histologic_grade_GX,-0.5830416870703228,0.5581979183697959,1.3802612067987723,-3.288303941653708,2.1222205675130628,0.037317087711192375,8.349657896238266,0.0,-0.4224140214898644,0.6727228452222429,0.5719158429181783
