model,threshold,model_net_benefit,treat_all_net_benefit,treat_none_net_benefit,sensitivity,specificity
clinical_only,0.05,0.3560687432867884,0.35911206587898314,0.0,0.991304347826087,0.0111731843575419
clinical_only,0.1,0.30763416477702193,0.3235071806500378,0.0,0.9478260869565217,0.0670391061452514
clinical_only,0.15000000000000002,0.27951180472188875,0.28371348539415764,0.0,0.9478260869565217,0.15083798882681565
clinical_only,0.2,0.23299319727891155,0.2389455782312925,0.0,0.8869565217391304,0.25139664804469275
clinical_only,0.25,0.18367346938775514,0.18820861678004536,0.0,0.808695652173913,0.3463687150837989
clinical_only,0.3,0.15257531584062195,0.13022351797861997,0.0,0.7478260869565218,0.46368715083798884
clinical_only,0.35000000000000003,0.11747776033490318,0.06331763474620611,0.0,0.6608695652173913,0.5698324022346368
clinical_only,0.4,0.07369614512471653,-0.014739229024943346,0.0,0.5652173913043478,0.6368715083798883
clinical_only,0.45,0.058132343846629575,-0.10698824984539268,0.0,0.5043478260869565,0.7206703910614525
clinical_only,0.5,0.03401360544217685,-0.217687074829932,0.0,0.4260869565217391,0.7821229050279329
clinical_only,0.55,-0.0037792894935752275,-0.3529856386999246,0.0,0.33043478260869563,0.8212290502793296
clinical_only,0.6000000000000001,-0.0289115646258504,-0.5221088435374154,0.0,0.25217391304347825,0.8603351955307262
clinical_only,0.6500000000000001,-0.045675413022351855,-0.7395529640427606,0.0,0.17391304347826086,0.8994413407821229
clinical_only,0.7000000000000001,-0.03968253968253971,-1.029478458049887,0.0,0.12173913043478261,0.9385474860335196
clinical_only,0.7500000000000001,-0.003401360544217698,-1.4353741496598649,0.0,0.043478260869565216,0.9888268156424581
clinical_hpv_treatment,0.05,0.3526673827425707,0.35911206587898314,0.0,0.9739130434782609,0.11731843575418995
clinical_hpv_treatment,0.1,0.3125472411186697,0.3235071806500378,0.0,0.9304347826086956,0.24022346368715083
clinical_hpv_treatment,0.15000000000000002,0.2711084433773509,0.28371348539415764,0.0,0.8695652173913043,0.3575418994413408
clinical_hpv_treatment,0.2,0.23979591836734693,0.2389455782312925,0.0,0.8347826086956521,0.4301675977653631
clinical_hpv_treatment,0.25,0.2120181405895692,0.18820861678004536,0.0,0.8173913043478261,0.4692737430167598
clinical_hpv_treatment,0.3,0.19387755102040816,0.13022351797861997,0.0,0.782608695652174,0.5698324022346368
clinical_hpv_treatment,0.35000000000000003,0.173469387755102,0.06331763474620611,0.0,0.7478260869565218,0.6368715083798883
clinical_hpv_treatment,0.4,0.1507936507936508,-0.014739229024943346,0.0,0.6869565217391305,0.7094972067039106
clinical_hpv_treatment,0.45,0.12677798392084105,-0.10698824984539268,0.0,0.6086956521739131,0.776536312849162
clinical_hpv_treatment,0.5,0.11224489795918367,-0.217687074829932,0.0,0.5652173913043478,0.8212290502793296
clinical_hpv_treatment,0.55,0.09599395313681025,-0.3529856386999246,0.0,0.5217391304347826,0.8547486033519553
clinical_hpv_treatment,0.6000000000000001,0.08333333333333329,-0.5221088435374154,0.0,0.4608695652173913,0.8938547486033519
clinical_hpv_treatment,0.6500000000000001,0.051992225461613154,-0.7395529640427606,0.0,0.391304347826087,0.9106145251396648
clinical_hpv_treatment,0.7000000000000001,0.019274376417233535,-1.029478458049887,0.0,0.3739130434782609,0.9106145251396648
clinical_hpv_treatment,0.7500000000000001,0.006802721088435326,-1.4353741496598649,0.0,0.25217391304347825,0.9497206703910615
clinical_hpv_treatment_expression,0.05,0.3505191550304332,0.35911206587898314,0.0,0.9652173913043478,0.1564245810055866
clinical_hpv_treatment_expression,0.1,0.309145880574452,0.3235071806500378,0.0,0.9130434782608695,0.2905027932960894
clinical_hpv_treatment_expression,0.15000000000000002,0.27571028411364545,0.28371348539415764,0.0,0.8782608695652174,0.3687150837988827
clinical_hpv_treatment_expression,0.2,0.25850340136054417,0.2389455782312925,0.0,0.8608695652173913,0.4860335195530726
clinical_hpv_treatment_expression,0.25,0.23129251700680276,0.18820861678004536,0.0,0.808695652173913,0.5810055865921788
clinical_hpv_treatment_expression,0.3,0.2021379980563654,0.13022351797861997,0.0,0.7739130434782608,0.6145251396648045
clinical_hpv_treatment_expression,0.35000000000000003,0.16378859236002088,0.06331763474620611,0.0,0.7043478260869566,0.659217877094972
clinical_hpv_treatment_expression,0.4,0.14058956916099774,-0.014739229024943346,0.0,0.6782608695652174,0.6927374301675978
clinical_hpv_treatment_expression,0.45,0.13358070500927643,-0.10698824984539268,0.0,0.6260869565217392,0.776536312849162
clinical_hpv_treatment_expression,0.5,0.11224489795918367,-0.217687074829932,0.0,0.5739130434782609,0.8156424581005587
clinical_hpv_treatment_expression,0.55,0.06840513983371121,-0.3529856386999246,0.0,0.5043478260869565,0.8268156424581006
clinical_hpv_treatment_expression,0.6000000000000001,0.04081632653061218,-0.5221088435374154,0.0,0.4434782608695652,0.8547486033519553
clinical_hpv_treatment_expression,0.6500000000000001,0.020408163265306062,-0.7395529640427606,0.0,0.391304347826087,0.88268156424581
clinical_hpv_treatment_expression,0.7000000000000001,-0.0034013605442177186,-1.029478458049887,0.0,0.3565217391304348,0.8994413407821229
clinical_hpv_treatment_expression,0.7500000000000001,-0.03741496598639464,-1.4353741496598649,0.0,0.2956521739130435,0.9162011173184358
