variable,missing_fraction,nonmissing_n
submitter_id,0.0,294
project_id,0.0,294
sex,0.0,294
vital_status,0.0,294
days_to_death,0.608843537414966,115
days_to_last_followup,0.7414965986394558,76
age_at_diagnosis_raw,0.003401360544217687,293
pathologic_stage,0.14285714285714285,252
pathologic_t,0.03741496598639456,283
pathologic_n,0.04081632653061224,282
pathologic_m,0.5408163265306123,135
histologic_grade,0.006802721088435374,292
primary_site,0.0,294
smoking_history,0.02040816326530612,288
gleason_score,1.0,0
age_at_diagnosis_years,0.003401360544217687,293
event_death,0.0,294
overall_survival_days,0.43197278911564624,167
